ID,Model,Rater,C2_1,C2_2
1,GPT35,R4,5,5
1,GPT35,R6,5,5
1,GPT35,R5,5,5
1,GPT4,R4,5,5
1,GPT4,R6,5,5
1,GPT4,R5,5,5
1,Llama,R4,5,5
1,Llama,R6,5,5
1,Llama,R5,5,5
2,GPT35,R4,5,5
2,GPT35,R6,5,5
2,GPT35,R5,5,5
2,GPT4,R4,5,5
2,GPT4,R6,5,5
2,GPT4,R5,5,5
2,Llama,R4,5,5
2,Llama,R6,5,5
2,Llama,R5,5,5
3,GPT35,R4,5,5
3,GPT35,R6,5,5
3,GPT35,R5,5,5
3,GPT4,R4,5,5
3,GPT4,R6,5,5
3,GPT4,R5,5,4
3,Llama,R4,5,5
3,Llama,R6,5,5
3,Llama,R5,5,5
4,GPT35,R4,5,5
4,GPT35,R6,5,5
4,GPT35,R5,5,5
4,GPT4,R4,5,5
4,GPT4,R6,5,5
4,GPT4,R5,5,5
4,Llama,R4,5,5
4,Llama,R6,5,5
4,Llama,R5,5,5
5,GPT35,R4,5,5
5,GPT35,R6,5,5
5,GPT35,R5,5,5
5,GPT4,R4,5,5
5,GPT4,R6,5,5
5,GPT4,R5,5,5
5,Llama,R4,5,5
5,Llama,R6,5,5
5,Llama,R5,5,5
6,GPT35,R4,5,5
6,GPT35,R6,5,5
6,GPT35,R5,5,5
6,GPT4,R4,5,5
6,GPT4,R6,5,5
6,GPT4,R5,5,5
6,Llama,R4,5,5
6,Llama,R6,5,5
6,Llama,R5,5,5
7,GPT35,R4,5,5
7,GPT35,R6,5,5
7,GPT35,R5,5,5
7,GPT4,R4,5,5
7,GPT4,R6,5,5
7,GPT4,R5,5,5
7,Llama,R4,5,5
7,Llama,R6,5,5
7,Llama,R5,5,5
8,GPT35,R4,5,5
8,GPT35,R6,5,5
8,GPT35,R5,5,5
8,GPT4,R4,5,5
8,GPT4,R6,5,5
8,GPT4,R5,5,5
8,Llama,R4,5,5
8,Llama,R6,5,5
8,Llama,R5,5,5
9,GPT35,R4,5,5
9,GPT35,R6,5,5
9,GPT35,R5,5,5
9,GPT4,R4,5,5
9,GPT4,R6,5,5
9,GPT4,R5,5,5
9,Llama,R4,0,0
9,Llama,R6,0,0
9,Llama,R5,0,0
10,GPT35,R4,5,5
10,GPT35,R6,5,5
10,GPT35,R5,5,5
10,GPT4,R4,5,5
10,GPT4,R6,5,5
10,GPT4,R5,5,5
10,Llama,R4,5,5
10,Llama,R6,5,3
10,Llama,R5,4,4
11,GPT35,R4,0,0
11,GPT35,R6,0,0
11,GPT35,R5,0,0
11,GPT4,R4,5,5
11,GPT4,R6,5,5
11,GPT4,R5,5,5
11,Llama,R4,5,4
11,Llama,R6,5,2
11,Llama,R5,5,1
12,GPT35,R4,5,5
12,GPT35,R6,5,5
12,GPT35,R5,5,5
12,GPT4,R4,5,5
12,GPT4,R6,5,5
12,GPT4,R5,5,5
12,Llama,R4,5,1
12,Llama,R6,5,2
12,Llama,R5,5,0
13,GPT35,R4,5,4
13,GPT35,R6,5,4
13,GPT35,R5,5,4
13,GPT4,R4,5,4
13,GPT4,R6,5,4
13,GPT4,R5,5,4
13,Llama,R4,5,4
13,Llama,R6,5,4
13,Llama,R5,5,5
14,GPT35,R4,5,4
14,GPT35,R6,5,4
14,GPT35,R5,5,4
14,GPT4,R4,5,3
14,GPT4,R6,5,3
14,GPT4,R5,5,3
14,Llama,R4,5,5
14,Llama,R6,5,5
14,Llama,R5,5,5
15,GPT35,R4,0,0
15,GPT35,R6,0,0
15,GPT35,R5,0,0
15,GPT4,R4,5,5
15,GPT4,R6,5,5
15,GPT4,R5,5,5
15,Llama,R4,5,3
15,Llama,R6,5,3
15,Llama,R5,4,2
16,GPT35,R4,5,5
16,GPT35,R6,5,5
16,GPT35,R5,5,5
16,GPT4,R4,5,5
16,GPT4,R6,5,5
16,GPT4,R5,5,5
16,Llama,R4,5,5
16,Llama,R6,5,5
16,Llama,R5,5,5
17,GPT35,R4,5,4
17,GPT35,R6,5,4
17,GPT35,R5,5,3
17,GPT4,R4,0,0
17,GPT4,R6,0,0
17,GPT4,R5,0,0
17,Llama,R4,5,3
17,Llama,R6,5,3
17,Llama,R5,5,3
18,GPT35,R4,0,0
18,GPT35,R6,0,0
18,GPT35,R5,5,4
18,GPT4,R4,0,0
18,GPT4,R6,0,0
18,GPT4,R5,5,1
18,Llama,R4,0,0
18,Llama,R6,0,0
18,Llama,R5,0,0
19,GPT35,R4,5,5
19,GPT35,R6,5,5
19,GPT35,R5,5,5
19,GPT4,R4,5,5
19,GPT4,R6,5,5
19,GPT4,R5,5,5
19,Llama,R4,5,3
19,Llama,R6,5,3
19,Llama,R5,5,3
20,GPT35,R4,5,5
20,GPT35,R6,5,5
20,GPT35,R5,5,5
20,GPT4,R4,0,0
20,GPT4,R6,0,0
20,GPT4,R5,0,0
20,Llama,R4,3,3
20,Llama,R6,4,2
20,Llama,R5,4,2
21,GPT35,R4,5,5
21,GPT35,R6,5,5
21,GPT35,R5,5,5
21,GPT4,R4,5,3
21,GPT4,R6,4,3
21,GPT4,R5,5,3
21,Llama,R4,5,3
21,Llama,R6,5,2
21,Llama,R5,5,2
22,GPT35,R4,0,0
22,GPT35,R6,0,0
22,GPT35,R5,5,5
22,GPT4,R4,5,3
22,GPT4,R6,5,1
22,GPT4,R5,4,1
22,Llama,R4,3,3
22,Llama,R6,5,1
22,Llama,R5,1,1
23,GPT35,R4,5,5
23,GPT35,R6,5,5
23,GPT35,R5,5,5
23,GPT4,R4,0,0
23,GPT4,R6,0,0
23,GPT4,R5,0,0
23,Llama,R4,5,5
23,Llama,R6,5,5
23,Llama,R5,5,5
24,GPT35,R4,5,5
24,GPT35,R6,5,5
24,GPT35,R5,5,5
24,GPT4,R4,5,5
24,GPT4,R6,5,5
24,GPT4,R5,5,5
24,Llama,R4,5,5
24,Llama,R6,5,5
24,Llama,R5,5,5
25,GPT35,R4,5,5
25,GPT35,R6,5,5
25,GPT35,R5,5,5
25,GPT4,R4,5,5
25,GPT4,R6,5,5
25,GPT4,R5,5,5
25,Llama,R4,5,3
25,Llama,R6,5,3
25,Llama,R5,5,0
26,GPT35,R4,5,5
26,GPT35,R6,5,5
26,GPT35,R5,5,5
26,GPT4,R4,5,4
26,GPT4,R6,5,4
26,GPT4,R5,5,4
26,Llama,R4,0,0
26,Llama,R6,0,0
26,Llama,R5,0,0
27,GPT35,R4,5,5
27,GPT35,R6,5,5
27,GPT35,R5,5,5
27,GPT4,R4,0,0
27,GPT4,R6,0,0
27,GPT4,R5,5,2
27,Llama,R4,5,5
27,Llama,R6,5,5
27,Llama,R5,5,5
28,GPT35,R4,0,0
28,GPT35,R6,0,0
28,GPT35,R5,0,0
28,GPT4,R4,0,0
28,GPT4,R6,0,0
28,GPT4,R5,0,0
28,Llama,R4,5,2
28,Llama,R6,5,2
28,Llama,R5,5,1
29,GPT35,R4,5,5
29,GPT35,R6,5,5
29,GPT35,R5,5,5
29,GPT4,R4,0,0
29,GPT4,R6,0,0
29,GPT4,R5,0,0
29,Llama,R4,5,5
29,Llama,R6,5,5
29,Llama,R5,5,5
30,GPT35,R4,5,5
30,GPT35,R6,5,5
30,GPT35,R5,5,5
30,GPT4,R4,5,5
30,GPT4,R6,5,5
30,GPT4,R5,5,5
30,Llama,R4,4,4
30,Llama,R6,5,3
30,Llama,R5,5,3
31,GPT35,R4,5,5
31,GPT35,R6,5,5
31,GPT35,R5,5,5
31,GPT4,R4,5,5
31,GPT4,R6,5,5
31,GPT4,R5,5,5
31,Llama,R4,5,5
31,Llama,R6,5,5
31,Llama,R5,5,5
32,GPT35,R4,5,5
32,GPT35,R6,5,5
32,GPT35,R5,5,5
32,GPT4,R4,5,5
32,GPT4,R6,5,5
32,GPT4,R5,5,5
32,Llama,R4,5,5
32,Llama,R6,5,5
32,Llama,R5,5,5
33,GPT35,R4,0,0
33,GPT35,R6,0,0
33,GPT35,R5,0,0
33,GPT4,R4,0,0
33,GPT4,R6,0,0
33,GPT4,R5,0,0
33,Llama,R4,5,5
33,Llama,R6,5,5
33,Llama,R5,5,5
34,GPT35,R4,5,5
34,GPT35,R6,5,5
34,GPT35,R5,5,5
34,GPT4,R4,5,5
34,GPT4,R6,5,5
34,GPT4,R5,5,5
34,Llama,R4,3,3
34,Llama,R6,5,2
34,Llama,R5,2,3
35,GPT35,R4,0,0
35,GPT35,R6,0,0
35,GPT35,R5,0,0
35,GPT4,R4,5,4
35,GPT4,R6,5,3
35,GPT4,R5,5,3
35,Llama,R4,3,2
35,Llama,R6,5,2
35,Llama,R5,5,0
36,GPT35,R4,5,3
36,GPT35,R6,5,3
36,GPT35,R5,5,2
36,GPT4,R4,5,5
36,GPT4,R6,5,5
36,GPT4,R5,5,5
36,Llama,R4,5,5
36,Llama,R6,5,5
36,Llama,R5,5,5
37,GPT35,R4,0,0
37,GPT35,R6,0,0
37,GPT35,R5,0,0
37,GPT4,R4,5,2
37,GPT4,R6,5,2
37,GPT4,R5,5,0
37,Llama,R4,3,2
37,Llama,R6,4,1
37,Llama,R5,3,0
38,GPT35,R4,5,5
38,GPT35,R6,5,5
38,GPT35,R5,5,5
38,GPT4,R4,0,0
38,GPT4,R6,0,0
38,GPT4,R5,0,0
38,Llama,R4,0,0
38,Llama,R6,0,0
38,Llama,R5,0,0
39,GPT35,R4,5,5
39,GPT35,R6,5,5
39,GPT35,R5,5,5
39,GPT4,R4,5,5
39,GPT4,R6,5,5
39,GPT4,R5,5,5
39,Llama,R4,5,1
39,Llama,R6,5,1
39,Llama,R5,5,0
40,GPT35,R4,0,0
40,GPT35,R6,0,0
40,GPT35,R5,0,0
40,GPT4,R4,5,3
40,GPT4,R6,5,5
40,GPT4,R5,5,2
40,Llama,R4,3,2
40,Llama,R6,5,1
40,Llama,R5,3,0
41,GPT35,R4,5,5
41,GPT35,R6,5,5
41,GPT35,R5,5,5
41,GPT4,R4,0,0
41,GPT4,R6,0,0
41,GPT4,R5,0,0
41,Llama,R4,5,5
41,Llama,R6,5,5
41,Llama,R5,5,5
42,GPT35,R4,5,5
42,GPT35,R6,5,5
42,GPT35,R5,5,5
42,GPT4,R4,5,5
42,GPT4,R6,5,5
42,GPT4,R5,5,5
42,Llama,R4,5,5
42,Llama,R6,5,5
42,Llama,R5,5,5
43,GPT35,R4,0,0
43,GPT35,R6,0,0
43,GPT35,R5,0,0
43,GPT4,R4,0,0
43,GPT4,R6,0,0
43,GPT4,R5,0,0
43,Llama,R4,5,5
43,Llama,R6,5,5
43,Llama,R5,5,5
44,GPT35,R4,5,5
44,GPT35,R6,5,5
44,GPT35,R5,5,5
44,GPT4,R4,5,5
44,GPT4,R6,5,5
44,GPT4,R5,5,5
44,Llama,R4,5,5
44,Llama,R6,5,5
44,Llama,R5,5,5
45,GPT35,R4,5,5
45,GPT35,R6,0,0
45,GPT35,R5,5,5
45,GPT4,R4,5,5
45,GPT4,R6,5,5
45,GPT4,R5,5,5
45,Llama,R4,5,5
45,Llama,R6,5,5
45,Llama,R5,5,5
46,GPT35,R4,5,5
46,GPT35,R6,5,5
46,GPT35,R5,5,5
46,GPT4,R4,5,5
46,GPT4,R6,5,5
46,GPT4,R5,5,5
46,Llama,R4,0,0
46,Llama,R6,0,0
46,Llama,R5,0,0
47,GPT35,R4,0,0
47,GPT35,R6,0,0
47,GPT35,R5,0,0
47,GPT4,R4,0,0
47,GPT4,R6,0,0
47,GPT4,R5,0,0
47,Llama,R4,5,5
47,Llama,R6,5,5
47,Llama,R5,5,5
48,GPT35,R4,5,5
48,GPT35,R6,5,5
48,GPT35,R5,5,5
48,GPT4,R4,0,0
48,GPT4,R6,0,0
48,GPT4,R5,0,0
48,Llama,R4,5,5
48,Llama,R6,5,5
48,Llama,R5,5,5
49,GPT35,R4,0,0
49,GPT35,R6,0,0
49,GPT35,R5,0,0
49,GPT4,R4,5,5
49,GPT4,R6,5,5
49,GPT4,R5,5,5
49,Llama,R4,5,5
49,Llama,R6,5,5
49,Llama,R5,5,5
50,GPT35,R4,3,2
50,GPT35,R6,5,2
50,GPT35,R5,4,0
50,GPT4,R4,0,0
50,GPT4,R6,0,0
50,GPT4,R5,0,0
50,Llama,R4,0,0
50,Llama,R6,0,0
50,Llama,R5,0,0
51,GPT35,R4,0,0
51,GPT35,R6,0,0
51,GPT35,R5,0,0
51,GPT4,R4,0,0
51,GPT4,R6,0,0
51,GPT4,R5,0,0
51,Llama,R4,1,4
51,Llama,R6,5,3
51,Llama,R5,3,0
52,GPT35,R4,5,5
52,GPT35,R6,5,5
52,GPT35,R5,5,5
52,GPT4,R4,0,0
52,GPT4,R6,0,0
52,GPT4,R5,0,0
52,Llama,R4,3,5
52,Llama,R6,5,3
52,Llama,R5,3,4
53,GPT35,R4,0,0
53,GPT35,R6,0,0
53,GPT35,R5,0,0
53,GPT4,R4,5,5
53,GPT4,R6,5,5
53,GPT4,R5,5,5
53,Llama,R4,0,0
53,Llama,R6,0,0
53,Llama,R5,0,0
54,GPT35,R4,0,0
54,GPT35,R6,0,0
54,GPT35,R5,0,0
54,GPT4,R4,5,5
54,GPT4,R6,5,5
54,GPT4,R5,5,5
54,Llama,R4,5,5
54,Llama,R6,5,5
54,Llama,R5,5,5
55,GPT35,R4,0,0
55,GPT35,R6,0,0
55,GPT35,R5,0,0
55,GPT4,R4,5,5
55,GPT4,R6,5,5
55,GPT4,R5,5,5
55,Llama,R4,5,5
55,Llama,R6,5,5
55,Llama,R5,5,5
56,GPT35,R4,0,0
56,GPT35,R6,0,0
56,GPT35,R5,0,0
56,GPT4,R4,0,0
56,GPT4,R6,0,0
56,GPT4,R5,0,0
56,Llama,R4,2,5
56,Llama,R6,5,3
56,Llama,R5,3,4
57,GPT35,R4,5,5
57,GPT35,R6,5,5
57,GPT35,R5,5,5
57,GPT4,R4,0,0
57,GPT4,R6,0,0
57,GPT4,R5,0,0
57,Llama,R4,1,5
57,Llama,R6,5,2
57,Llama,R5,2,2
58,GPT35,R4,0,0
58,GPT35,R6,0,0
58,GPT35,R5,0,0
58,GPT4,R4,0,0
58,GPT4,R6,0,0
58,GPT4,R5,0,0
58,Llama,R4,0,0
58,Llama,R6,0,0
58,Llama,R5,0,0
59,GPT35,R4,5,5
59,GPT35,R6,5,5
59,GPT35,R5,5,5
59,GPT4,R4,5,5
59,GPT4,R6,5,5
59,GPT4,R5,5,5
59,Llama,R4,5,5
59,Llama,R6,5,5
59,Llama,R5,5,5
60,GPT35,R4,5,5
60,GPT35,R6,5,5
60,GPT35,R5,5,5
60,GPT4,R4,5,5
60,GPT4,R6,5,5
60,GPT4,R5,5,5
60,Llama,R4,5,5
60,Llama,R6,5,5
60,Llama,R5,5,5
61,GPT35,R4,5,4
61,GPT35,R6,5,4
61,GPT35,R5,5,4
61,GPT4,R4,5,4
61,GPT4,R6,5,5
61,GPT4,R5,5,4
61,Llama,R4,0,0
61,Llama,R6,0,0
61,Llama,R5,0,0
62,GPT35,R4,0,0
62,GPT35,R6,0,0
62,GPT35,R5,0,0
62,GPT4,R4,0,0
62,GPT4,R6,0,0
62,GPT4,R5,0,0
62,Llama,R4,0,0
62,Llama,R6,0,0
62,Llama,R5,0,0
63,GPT35,R4,0,0
63,GPT35,R6,0,0
63,GPT35,R5,0,0
63,GPT4,R4,5,5
63,GPT4,R6,5,5
63,GPT4,R5,5,5
63,Llama,R4,5,4
63,Llama,R6,5,4
63,Llama,R5,5,3
64,GPT35,R4,0,0
64,GPT35,R6,0,0
64,GPT35,R5,3,3
64,GPT4,R4,0,0
64,GPT4,R6,0,0
64,GPT4,R5,0,0
64,Llama,R4,5,4
64,Llama,R6,4,5
64,Llama,R5,5,3
65,GPT35,R4,0,0
65,GPT35,R6,0,0
65,GPT35,R5,0,0
65,GPT4,R4,0,0
65,GPT4,R6,0,0
65,GPT4,R5,0,0
65,Llama,R4,0,0
65,Llama,R6,0,0
65,Llama,R5,0,0
66,GPT35,R4,0,0
66,GPT35,R6,0,0
66,GPT35,R5,0,0
66,GPT4,R4,5,5
66,GPT4,R6,5,5
66,GPT4,R5,5,5
66,Llama,R4,5,5
66,Llama,R6,5,5
66,Llama,R5,5,5
67,GPT35,R4,5,5
67,GPT35,R6,5,5
67,GPT35,R5,5,5
67,GPT4,R4,0,0
67,GPT4,R6,0,0
67,GPT4,R5,0,0
67,Llama,R4,5,5
67,Llama,R6,5,5
67,Llama,R5,5,5
68,GPT35,R4,0,0
68,GPT35,R6,0,0
68,GPT35,R5,0,0
68,GPT4,R4,0,0
68,GPT4,R6,0,0
68,GPT4,R5,0,0
68,Llama,R4,0,0
68,Llama,R6,0,0
68,Llama,R5,0,0
69,GPT35,R4,5,5
69,GPT35,R6,5,5
69,GPT35,R5,5,5
69,GPT4,R4,0,0
69,GPT4,R6,0,0
69,GPT4,R5,0,0
69,Llama,R4,0,0
69,Llama,R6,0,0
69,Llama,R5,0,0
70,GPT35,R4,0,0
70,GPT35,R6,0,0
70,GPT35,R5,0,0
70,GPT4,R4,0,0
70,GPT4,R6,0,0
70,GPT4,R5,0,0
70,Llama,R4,0,0
70,Llama,R6,0,0
70,Llama,R5,0,0
71,GPT35,R4,0,0
71,GPT35,R6,0,0
71,GPT35,R5,0,0
71,GPT4,R4,0,0
71,GPT4,R6,0,0
71,GPT4,R5,0,0
71,Llama,R4,0,0
71,Llama,R6,0,0
71,Llama,R5,0,0
72,GPT35,R4,0,0
72,GPT35,R6,0,0
72,GPT35,R5,0,0
72,GPT4,R4,0,0
72,GPT4,R6,0,0
72,GPT4,R5,0,0
72,Llama,R4,0,0
72,Llama,R6,0,0
72,Llama,R5,0,0
73,GPT35,R4,0,0
73,GPT35,R6,0,0
73,GPT35,R5,0,0
73,GPT4,R4,0,0
73,GPT4,R6,0,0
73,GPT4,R5,0,0
73,Llama,R4,0,0
73,Llama,R6,0,0
73,Llama,R5,0,0
74,GPT35,R4,5,2
74,GPT35,R6,5,3
74,GPT35,R5,5,1
74,GPT4,R4,0,0
74,GPT4,R6,0,0
74,GPT4,R5,0,0
74,Llama,R4,0,0
74,Llama,R6,0,0
74,Llama,R5,0,0
75,GPT35,R4,0,0
75,GPT35,R6,0,0
75,GPT35,R5,0,0
75,GPT4,R4,0,0
75,GPT4,R6,0,0
75,GPT4,R5,0,0
75,Llama,R4,5,5
75,Llama,R6,5,5
75,Llama,R5,5,5
76,GPT35,R4,5,3
76,GPT35,R6,5,2
76,GPT35,R5,5,2
76,GPT4,R4,5,5
76,GPT4,R6,0,0
76,GPT4,R5,5,5
76,Llama,R4,0,0
76,Llama,R6,0,0
76,Llama,R5,0,0
77,GPT35,R4,5,5
77,GPT35,R6,5,5
77,GPT35,R5,5,5
77,GPT4,R4,5,5
77,GPT4,R6,5,5
77,GPT4,R5,5,5
77,Llama,R4,5,5
77,Llama,R6,5,5
77,Llama,R5,5,5
78,GPT35,R4,5,5
78,GPT35,R6,5,5
78,GPT35,R5,5,5
78,GPT4,R4,0,0
78,GPT4,R6,0,0
78,GPT4,R5,0,0
78,Llama,R4,5,3
78,Llama,R6,5,2
78,Llama,R5,5,2
79,GPT35,R4,5,5
79,GPT35,R6,5,5
79,GPT35,R5,5,5
79,GPT4,R4,0,0
79,GPT4,R6,0,0
79,GPT4,R5,0,0
79,Llama,R4,5,5
79,Llama,R6,5,5
79,Llama,R5,5,5
80,GPT35,R4,5,5
80,GPT35,R6,4,5
80,GPT35,R5,5,5
80,GPT4,R4,5,5
80,GPT4,R6,4,5
80,GPT4,R5,5,5
80,Llama,R4,0,0
80,Llama,R6,0,0
80,Llama,R5,0,0
81,GPT35,R4,5,5
81,GPT35,R6,5,5
81,GPT35,R5,5,5
81,GPT4,R4,0,0
81,GPT4,R6,0,0
81,GPT4,R5,0,0
81,Llama,R4,0,5
81,Llama,R6,5,3
81,Llama,R5,5,1
82,GPT35,R4,5,5
82,GPT35,R6,5,5
82,GPT35,R5,5,5
82,GPT4,R4,5,4
82,GPT4,R6,5,4
82,GPT4,R5,5,4
82,Llama,R4,5,5
82,Llama,R6,5,5
82,Llama,R5,5,5
83,GPT35,R4,5,5
83,GPT35,R6,5,5
83,GPT35,R5,5,5
83,GPT4,R4,5,5
83,GPT4,R6,5,5
83,GPT4,R5,5,5
83,Llama,R4,5,3
83,Llama,R6,5,3
83,Llama,R5,5,2
84,GPT35,R4,5,5
84,GPT35,R6,5,5
84,GPT35,R5,5,5
84,GPT4,R4,0,0
84,GPT4,R6,0,0
84,GPT4,R5,0,0
84,Llama,R4,0,0
84,Llama,R6,0,0
84,Llama,R5,0,0
85,GPT35,R4,5,5
85,GPT35,R6,5,5
85,GPT35,R5,5,5
85,GPT4,R4,0,0
85,GPT4,R6,0,0
85,GPT4,R5,0,0
85,Llama,R4,5,5
85,Llama,R6,5,5
85,Llama,R5,5,5
86,GPT35,R4,5,5
86,GPT35,R6,5,5
86,GPT35,R5,5,5
86,GPT4,R4,5,5
86,GPT4,R6,5,5
86,GPT4,R5,5,5
86,Llama,R4,0,0
86,Llama,R6,0,0
86,Llama,R5,0,0
87,GPT35,R4,5,5
87,GPT35,R6,5,5
87,GPT35,R5,5,5
87,GPT4,R4,5,5
87,GPT4,R6,5,5
87,GPT4,R5,5,5
87,Llama,R4,0,0
87,Llama,R6,0,0
87,Llama,R5,0,0
88,GPT35,R4,0,0
88,GPT35,R6,0,0
88,GPT35,R5,0,0
88,GPT4,R4,3,5
88,GPT4,R6,5,3
88,GPT4,R5,4,4
88,Llama,R4,5,5
88,Llama,R6,5,5
88,Llama,R5,5,5
89,GPT35,R4,0,0
89,GPT35,R6,0,0
89,GPT35,R5,0,0
89,GPT4,R4,5,1
89,GPT4,R6,5,2
89,GPT4,R5,5,0
89,Llama,R4,5,2
89,Llama,R6,5,2
89,Llama,R5,5,0
90,GPT35,R4,5,3
90,GPT35,R6,5,2
90,GPT35,R5,5,2
90,GPT4,R4,0,0
90,GPT4,R6,0,0
90,GPT4,R5,0,0
90,Llama,R4,0,0
90,Llama,R6,0,0
90,Llama,R5,0,0
91,GPT35,R4,5,5
91,GPT35,R6,5,5
91,GPT35,R5,5,5
91,GPT4,R4,5,5
91,GPT4,R6,5,5
91,GPT4,R5,5,5
91,Llama,R4,0,0
91,Llama,R6,0,0
91,Llama,R5,0,0
92,GPT35,R4,5,5
92,GPT35,R6,5,5
92,GPT35,R5,5,5
92,GPT4,R4,5,5
92,GPT4,R6,5,5
92,GPT4,R5,5,5
92,Llama,R4,5,5
92,Llama,R6,5,5
92,Llama,R5,5,5
93,GPT35,R4,5,5
93,GPT35,R6,5,5
93,GPT35,R5,5,5
93,GPT4,R4,0,0
93,GPT4,R6,0,0
93,GPT4,R5,0,0
93,Llama,R4,5,5
93,Llama,R6,5,5
93,Llama,R5,5,5
94,GPT35,R4,0,0
94,GPT35,R6,0,0
94,GPT35,R5,0,0
94,GPT4,R4,5,5
94,GPT4,R6,5,5
94,GPT4,R5,5,5
94,Llama,R4,5,4
94,Llama,R6,5,4
94,Llama,R5,5,2
95,GPT35,R4,0,0
95,GPT35,R6,0,0
95,GPT35,R5,0,0
95,GPT4,R4,5,5
95,GPT4,R6,5,5
95,GPT4,R5,5,5
95,Llama,R4,5,5
95,Llama,R6,5,5
95,Llama,R5,5,5
96,GPT35,R4,0,0
96,GPT35,R6,0,0
96,GPT35,R5,0,0
96,GPT4,R4,5,2
96,GPT4,R6,5,2
96,GPT4,R5,5,1
96,Llama,R4,0,0
96,Llama,R6,0,0
96,Llama,R5,0,0
97,GPT35,R4,0,0
97,GPT35,R6,0,0
97,GPT35,R5,0,0
97,GPT4,R4,0,0
97,GPT4,R6,0,0
97,GPT4,R5,0,0
97,Llama,R4,5,4
97,Llama,R6,5,5
97,Llama,R5,5,3
98,GPT35,R4,0,0
98,GPT35,R6,0,0
98,GPT35,R5,0,0
98,GPT4,R4,5,5
98,GPT4,R6,5,5
98,GPT4,R5,5,5
98,Llama,R4,3,2
98,Llama,R6,5,2
98,Llama,R5,1,0
99,GPT35,R4,0,0
99,GPT35,R6,0,0
99,GPT35,R5,0,0
99,GPT4,R4,5,5
99,GPT4,R6,5,5
99,GPT4,R5,5,5
99,Llama,R4,3,3
99,Llama,R6,5,3
99,Llama,R5,4,3
100,GPT35,R4,0,0
100,GPT35,R6,0,0
100,GPT35,R5,0,0
100,GPT4,R4,5,5
100,GPT4,R6,5,5
100,GPT4,R5,5,5
100,Llama,R4,0,0
100,Llama,R6,0,0
100,Llama,R5,0,0
101,GPT35,R4,5,5
101,GPT35,R6,5,5
101,GPT35,R5,5,5
101,GPT4,R4,5,5
101,GPT4,R6,0,0
101,GPT4,R5,5,5
101,Llama,R4,0,0
101,Llama,R6,0,0
101,Llama,R5,0,0
102,GPT35,R4,5,5
102,GPT35,R6,5,5
102,GPT35,R5,5,5
102,GPT4,R4,5,5
102,GPT4,R6,5,5
102,GPT4,R5,5,5
102,Llama,R4,0,0
102,Llama,R6,0,0
102,Llama,R5,0,0
103,GPT35,R4,0,0
103,GPT35,R6,0,0
103,GPT35,R5,0,0
103,GPT4,R4,0,0
103,GPT4,R6,0,0
103,GPT4,R5,0,0
103,Llama,R4,0,0
103,Llama,R6,0,0
103,Llama,R5,0,0
104,GPT35,R4,0,0
104,GPT35,R6,0,0
104,GPT35,R5,0,0
104,GPT4,R4,0,0
104,GPT4,R6,0,0
104,GPT4,R5,0,0
104,Llama,R4,1,1
104,Llama,R6,3,1
104,Llama,R5,0,0
105,GPT35,R4,0,0
105,GPT35,R6,0,0
105,GPT35,R5,0,0
105,GPT4,R4,2,4
105,GPT4,R6,4,4
105,GPT4,R5,4,3
105,Llama,R4,0,0
105,Llama,R6,0,0
105,Llama,R5,0,0
106,GPT35,R4,5,5
106,GPT35,R6,5,5
106,GPT35,R5,5,5
106,GPT4,R4,5,5
106,GPT4,R6,5,5
106,GPT4,R5,5,5
106,Llama,R4,5,5
106,Llama,R6,5,5
106,Llama,R5,5,5
107,GPT35,R4,5,5
107,GPT35,R6,5,5
107,GPT35,R5,5,5
107,GPT4,R4,5,5
107,GPT4,R6,5,5
107,GPT4,R5,5,5
