ID,Model,Rater,C2_1,C2_2
107,Llama,R4,2,5
107,Llama,R6,5,3
107,Llama,R5,2,4
108,GPT35,R4,0,0
108,GPT35,R6,0,0
108,GPT35,R5,0,0
108,GPT4,R4,0,0
108,GPT4,R6,0,0
108,GPT4,R5,0,0
108,Llama,R4,1,1
108,Llama,R6,5,2
108,Llama,R5,0,0
109,GPT35,R4,0,0
109,GPT35,R6,0,0
109,GPT35,R5,0,0
109,GPT4,R4,5,5
109,GPT4,R6,5,5
109,GPT4,R5,5,5
109,Llama,R4,0,0
109,Llama,R6,0,0
109,Llama,R5,0,0
110,GPT35,R4,0,0
110,GPT35,R6,0,0
110,GPT35,R5,0,0
110,GPT4,R4,5,5
110,GPT4,R6,5,5
110,GPT4,R5,5,5
110,Llama,R4,0,0
110,Llama,R6,0,0
110,Llama,R5,0,0
111,GPT35,R4,0,0
111,GPT35,R6,0,0
111,GPT35,R5,0,0
111,GPT4,R4,5,5
111,GPT4,R6,5,5
111,GPT4,R5,5,5
111,Llama,R4,5,5
111,Llama,R6,5,5
111,Llama,R5,5,5
112,GPT35,R4,0,0
112,GPT35,R6,0,0
112,GPT35,R5,0,0
112,GPT4,R4,0,0
112,GPT4,R6,0,0
112,GPT4,R5,0,0
112,Llama,R4,0,0
112,Llama,R6,0,0
112,Llama,R5,0,0
113,GPT35,R4,5,5
113,GPT35,R6,5,5
113,GPT35,R5,5,5
113,GPT4,R4,5,5
113,GPT4,R6,5,5
113,GPT4,R5,5,5
113,Llama,R4,5,2
113,Llama,R6,5,2
113,Llama,R5,0,0
114,GPT35,R4,0,0
114,GPT35,R6,0,0
114,GPT35,R5,0,0
114,GPT4,R4,0,0
114,GPT4,R6,0,0
114,GPT4,R5,0,0
114,Llama,R4,3,5
114,Llama,R6,5,3
114,Llama,R5,4,4
115,GPT35,R4,5,5
115,GPT35,R6,5,5
115,GPT35,R5,5,5
115,GPT4,R4,5,5
115,GPT4,R6,5,5
115,GPT4,R5,5,5
115,Llama,R4,5,5
115,Llama,R6,5,5
115,Llama,R5,5,5
116,GPT35,R4,5,5
116,GPT35,R6,5,5
116,GPT35,R5,5,5
116,GPT4,R4,5,5
116,GPT4,R6,5,5
116,GPT4,R5,5,5
116,Llama,R4,5,5
116,Llama,R6,5,5
116,Llama,R5,5,5
117,GPT35,R4,5,5
117,GPT35,R6,5,5
117,GPT35,R5,5,5
117,GPT4,R4,5,5
117,GPT4,R6,5,5
117,GPT4,R5,5,5
117,Llama,R4,5,5
117,Llama,R6,5,5
117,Llama,R5,5,5
118,GPT35,R4,5,5
118,GPT35,R6,5,5
118,GPT35,R5,5,5
118,GPT4,R4,5,5
118,GPT4,R6,5,5
118,GPT4,R5,5,5
118,Llama,R4,5,5
118,Llama,R6,5,5
118,Llama,R5,5,5
119,GPT35,R4,0,0
119,GPT35,R6,0,0
119,GPT35,R5,0,0
119,GPT4,R4,5,5
119,GPT4,R6,5,5
119,GPT4,R5,5,5
119,Llama,R4,2,3
119,Llama,R6,5,4
119,Llama,R5,5,1
120,GPT35,R4,0,0
120,GPT35,R6,0,0
120,GPT35,R5,0,0
120,GPT4,R4,0,0
120,GPT4,R6,0,0
120,GPT4,R5,0,0
120,Llama,R4,0,0
120,Llama,R6,0,0
120,Llama,R5,0,0
121,GPT35,R4,0,0
121,GPT35,R6,0,0
121,GPT35,R5,0,0
121,GPT4,R4,0,0
121,GPT4,R6,0,0
121,GPT4,R5,0,0
121,Llama,R4,0,0
121,Llama,R6,0,0
121,Llama,R5,0,0
122,GPT35,R4,0,0
122,GPT35,R6,0,0
122,GPT35,R5,0,0
122,GPT4,R4,0,0
122,GPT4,R6,0,0
122,GPT4,R5,0,0
122,Llama,R4,0,0
122,Llama,R6,0,0
122,Llama,R5,0,0
123,GPT35,R4,5,5
123,GPT35,R6,5,5
123,GPT35,R5,5,5
123,GPT4,R4,5,5
123,GPT4,R6,5,5
123,GPT4,R5,5,5
123,Llama,R4,5,5
123,Llama,R6,5,5
123,Llama,R5,5,5
124,GPT35,R4,0,0
124,GPT35,R6,0,0
124,GPT35,R5,0,0
124,GPT4,R4,0,0
124,GPT4,R6,0,0
124,GPT4,R5,0,0
124,Llama,R4,0,0
124,Llama,R6,0,0
124,Llama,R5,0,0
125,GPT35,R4,0,0
125,GPT35,R6,0,0
125,GPT35,R5,0,0
125,GPT4,R4,5,5
125,GPT4,R6,5,5
125,GPT4,R5,5,5
125,Llama,R4,5,5
125,Llama,R6,5,5
125,Llama,R5,5,5
126,GPT35,R4,3,2
126,GPT35,R6,5,1
126,GPT35,R5,4,0
126,GPT4,R4,0,0
126,GPT4,R6,0,0
126,GPT4,R5,0,0
126,Llama,R4,0,0
126,Llama,R6,0,0
126,Llama,R5,0,0
127,GPT35,R4,3,5
127,GPT35,R6,4,3
127,GPT35,R5,4,4
127,GPT4,R4,5,4
127,GPT4,R6,5,4
127,GPT4,R5,5,4
127,Llama,R4,2,3
127,Llama,R6,5,3
127,Llama,R5,3,1
128,GPT35,R4,5,5
128,GPT35,R6,5,5
128,GPT35,R5,5,5
128,GPT4,R4,5,5
128,GPT4,R6,5,5
128,GPT4,R5,5,5
128,Llama,R4,0,0
128,Llama,R6,0,0
128,Llama,R5,0,0
129,GPT35,R4,0,0
129,GPT35,R6,0,0
129,GPT35,R5,0,0
129,GPT4,R4,5,5
129,GPT4,R6,5,5
129,GPT4,R5,5,5
129,Llama,R4,1,2
129,Llama,R6,5,1
129,Llama,R5,0,0
130,GPT35,R4,0,0
130,GPT35,R6,0,0
130,GPT35,R5,0,0
130,GPT4,R4,0,0
130,GPT4,R6,0,0
130,GPT4,R5,0,0
130,Llama,R4,1,1
130,Llama,R6,5,1
130,Llama,R5,0,0
131,GPT35,R4,5,5
131,GPT35,R6,5,5
131,GPT35,R5,5,5
131,GPT4,R4,0,0
131,GPT4,R6,0,0
131,GPT4,R5,0,0
131,Llama,R4,3,3
131,Llama,R6,5,3
131,Llama,R5,4,2
132,GPT35,R4,0,0
132,GPT35,R6,0,0
132,GPT35,R5,0,0
132,GPT4,R4,5,5
132,GPT4,R6,5,5
132,GPT4,R5,5,5
132,Llama,R4,5,5
132,Llama,R6,5,5
132,Llama,R5,5,5
133,GPT35,R4,5,5
133,GPT35,R6,0,0
133,GPT35,R5,5,5
133,GPT4,R4,5,5
133,GPT4,R6,5,5
133,GPT4,R5,5,5
133,Llama,R4,0,0
133,Llama,R6,0,0
133,Llama,R5,0,0
134,GPT35,R4,0,0
134,GPT35,R6,0,0
134,GPT35,R5,0,0
134,GPT4,R4,0,0
134,GPT4,R6,0,0
134,GPT4,R5,0,0
134,Llama,R4,5,5
134,Llama,R6,5,5
134,Llama,R5,5,5
135,GPT35,R4,5,5
135,GPT35,R6,5,5
135,GPT35,R5,5,5
135,GPT4,R4,5,5
135,GPT4,R6,5,5
135,GPT4,R5,5,5
135,Llama,R4,5,5
135,Llama,R6,5,5
135,Llama,R5,5,5
136,GPT35,R4,5,3
136,GPT35,R6,5,2
136,GPT35,R5,5,3
136,GPT4,R4,5,3
136,GPT4,R6,5,2
136,GPT4,R5,5,3
136,Llama,R4,2,4
136,Llama,R6,5,1
136,Llama,R5,0,3
137,GPT35,R4,5,3
137,GPT35,R6,5,3
137,GPT35,R5,5,3
137,GPT4,R4,5,2
137,GPT4,R6,5,3
137,GPT4,R5,5,1
137,Llama,R4,5,2
137,Llama,R6,5,2
137,Llama,R5,5,1
138,GPT35,R4,5,5
138,GPT35,R6,5,5
138,GPT35,R5,5,5
138,GPT4,R4,5,5
138,GPT4,R6,5,5
138,GPT4,R5,5,5
138,Llama,R4,4,3
138,Llama,R6,5,2
138,Llama,R5,4,2
139,GPT35,R4,5,3
139,GPT35,R6,5,3
139,GPT35,R5,5,3
139,GPT4,R4,5,3
139,GPT4,R6,5,2
139,GPT4,R5,5,3
139,Llama,R4,5,2
139,Llama,R6,5,2
139,Llama,R5,5,1
140,GPT35,R4,5,5
140,GPT35,R6,4,5
140,GPT35,R5,5,5
140,GPT4,R4,0,0
140,GPT4,R6,0,0
140,GPT4,R5,0,0
140,Llama,R4,5,5
140,Llama,R6,5,5
140,Llama,R5,5,5
141,GPT35,R4,5,5
141,GPT35,R6,5,5
141,GPT35,R5,5,5
141,GPT4,R4,5,5
141,GPT4,R6,5,5
141,GPT4,R5,5,5
141,Llama,R4,5,5
141,Llama,R6,5,5
141,Llama,R5,5,5
142,GPT35,R4,0,0
142,GPT35,R6,0,0
142,GPT35,R5,0,0
142,GPT4,R4,5,4
142,GPT4,R6,5,3
142,GPT4,R5,3,5
142,Llama,R4,5,3
142,Llama,R6,5,3
142,Llama,R5,5,3
143,GPT35,R4,5,5
143,GPT35,R6,0,0
143,GPT35,R5,5,5
143,GPT4,R4,5,5
143,GPT4,R6,5,5
143,GPT4,R5,5,5
143,Llama,R4,5,3
143,Llama,R6,5,2
143,Llama,R5,5,1
144,GPT35,R4,0,0
144,GPT35,R6,0,0
144,GPT35,R5,0,0
144,GPT4,R4,0,0
144,GPT4,R6,0,0
144,GPT4,R5,0,0
144,Llama,R4,0,0
144,Llama,R6,0,0
144,Llama,R5,0,0
145,GPT35,R4,5,5
145,GPT35,R6,0,0
145,GPT35,R5,5,5
145,GPT4,R4,0,0
145,GPT4,R6,0,0
145,GPT4,R5,0,0
145,Llama,R4,0,0
145,Llama,R6,0,0
145,Llama,R5,0,0
146,GPT35,R4,5,5
146,GPT35,R6,0,0
146,GPT35,R5,5,5
146,GPT4,R4,5,5
146,GPT4,R6,5,5
146,GPT4,R5,5,5
146,Llama,R4,5,5
146,Llama,R6,0,0
146,Llama,R5,5,5
147,GPT35,R4,0,0
147,GPT35,R6,0,0
147,GPT35,R5,0,0
147,GPT4,R4,0,0
147,GPT4,R6,0,0
147,GPT4,R5,0,0
147,Llama,R4,0,0
147,Llama,R6,0,0
147,Llama,R5,0,0
148,GPT35,R4,0,0
148,GPT35,R6,0,0
148,GPT35,R5,0,0
148,GPT4,R4,0,0
148,GPT4,R6,0,0
148,GPT4,R5,0,0
148,Llama,R4,0,0
148,Llama,R6,0,0
148,Llama,R5,0,0
149,GPT35,R4,4,2
149,GPT35,R6,5,2
149,GPT35,R5,4,1
149,GPT4,R4,0,0
149,GPT4,R6,0,0
149,GPT4,R5,0,0
149,Llama,R4,0,0
149,Llama,R6,0,0
149,Llama,R5,0,0
150,GPT35,R4,0,0
150,GPT35,R6,0,0
150,GPT35,R5,0,0
150,GPT4,R4,0,0
150,GPT4,R6,0,0
150,GPT4,R5,0,0
150,Llama,R4,0,0
150,Llama,R6,0,0
150,Llama,R5,0,0
151,GPT35,R4,5,5
151,GPT35,R6,0,0
151,GPT35,R5,5,5
151,GPT4,R4,5,5
151,GPT4,R6,5,5
151,GPT4,R5,5,5
151,Llama,R4,5,5
151,Llama,R6,0,0
151,Llama,R5,5,5
152,GPT35,R4,5,5
152,GPT35,R6,5,5
152,GPT35,R5,5,5
152,GPT4,R4,5,5
152,GPT4,R6,5,5
152,GPT4,R5,5,5
152,Llama,R4,5,5
152,Llama,R6,5,5
152,Llama,R5,5,5
153,GPT35,R4,5,5
153,GPT35,R6,5,5
153,GPT35,R5,5,5
153,GPT4,R4,0,0
153,GPT4,R6,0,0
153,GPT4,R5,0,0
153,Llama,R4,5,3
153,Llama,R6,5,3
153,Llama,R5,5,3
154,GPT35,R4,5,5
154,GPT35,R6,5,5
154,GPT35,R5,5,5
154,GPT4,R4,5,5
154,GPT4,R6,5,5
154,GPT4,R5,5,5
154,Llama,R4,5,5
154,Llama,R6,5,5
154,Llama,R5,5,5
155,GPT35,R4,5,5
155,GPT35,R6,5,5
155,GPT35,R5,5,5
155,GPT4,R4,5,5
155,GPT4,R6,5,5
155,GPT4,R5,5,5
155,Llama,R4,0,0
155,Llama,R6,0,0
155,Llama,R5,0,0
156,GPT35,R4,5,5
156,GPT35,R6,5,5
156,GPT35,R5,5,5
156,GPT4,R4,0,0
156,GPT4,R6,0,0
156,GPT4,R5,0,0
156,Llama,R4,5,5
156,Llama,R6,5,5
156,Llama,R5,5,5
157,GPT35,R4,0,0
157,GPT35,R6,0,0
157,GPT35,R5,5,4
157,GPT4,R4,0,0
157,GPT4,R6,0,0
157,GPT4,R5,5,3
157,Llama,R4,5,5
157,Llama,R6,5,5
157,Llama,R5,5,5
158,GPT35,R4,5,5
158,GPT35,R6,5,5
158,GPT35,R5,5,5
158,GPT4,R4,5,5
158,GPT4,R6,5,5
158,GPT4,R5,5,5
158,Llama,R4,5,5
158,Llama,R6,5,5
158,Llama,R5,5,5
159,GPT35,R4,5,3
159,GPT35,R6,5,2
159,GPT35,R5,5,3
159,GPT4,R4,5,3
159,GPT4,R6,5,2
159,GPT4,R5,5,3
159,Llama,R4,4,3
159,Llama,R6,5,2
159,Llama,R5,4,3
160,GPT35,R4,3,2
160,GPT35,R6,5,2
160,GPT35,R5,3,2
160,GPT4,R4,4,1
160,GPT4,R6,5,1
160,GPT4,R5,3,0
160,Llama,R4,4,2
160,Llama,R6,5,2
160,Llama,R5,4,3
161,GPT35,R4,3,2
161,GPT35,R6,5,2
161,GPT35,R5,2,1
161,GPT4,R4,5,2
161,GPT4,R6,5,1
161,GPT4,R5,5,0
161,Llama,R4,5,3
161,Llama,R6,5,3
161,Llama,R5,5,3
162,GPT35,R4,5,3
162,GPT35,R6,5,3
162,GPT35,R5,5,3
162,GPT4,R4,5,3
162,GPT4,R6,5,3
162,GPT4,R5,5,3
162,Llama,R4,5,3
162,Llama,R6,5,3
162,Llama,R5,5,3
163,GPT35,R4,5,3
163,GPT35,R6,5,3
163,GPT35,R5,5,3
163,GPT4,R4,5,3
163,GPT4,R6,5,3
163,GPT4,R5,5,3
163,Llama,R4,5,3
163,Llama,R6,5,3
163,Llama,R5,5,3
164,GPT35,R4,0,0
164,GPT35,R6,0,0
164,GPT35,R5,5,3
164,GPT4,R4,5,5
164,GPT4,R6,5,5
164,GPT4,R5,5,5
164,Llama,R4,0,0
164,Llama,R6,0,0
164,Llama,R5,0,0
165,GPT35,R4,5,5
165,GPT35,R6,5,5
165,GPT35,R5,5,5
165,GPT4,R4,5,2
165,GPT4,R6,5,5
165,GPT4,R5,5,0
165,Llama,R4,5,2
165,Llama,R6,5,1
165,Llama,R5,3,1
166,GPT35,R4,0,0
166,GPT35,R6,0,0
166,GPT35,R5,0,0
166,GPT4,R4,0,0
166,GPT4,R6,0,0
166,GPT4,R5,0,0
166,Llama,R4,0,0
166,Llama,R6,0,0
166,Llama,R5,0,0
167,GPT35,R4,0,0
167,GPT35,R6,0,0
167,GPT35,R5,0,0
167,GPT4,R4,5,5
167,GPT4,R6,5,5
167,GPT4,R5,5,5
167,Llama,R4,0,0
167,Llama,R6,0,0
167,Llama,R5,0,0
168,GPT35,R4,5,5
168,GPT35,R6,0,0
168,GPT35,R5,5,5
168,GPT4,R4,5,5
168,GPT4,R6,5,4
168,GPT4,R5,5,5
168,Llama,R4,5,5
168,Llama,R6,0,0
168,Llama,R5,5,5
169,GPT35,R4,5,4
169,GPT35,R6,5,4
169,GPT35,R5,5,4
169,GPT4,R4,5,3
169,GPT4,R6,5,3
169,GPT4,R5,5,3
169,Llama,R4,0,0
169,Llama,R6,0,0
169,Llama,R5,0,0
170,GPT35,R4,0,0
170,GPT35,R6,0,0
170,GPT35,R5,0,0
170,GPT4,R4,5,5
170,GPT4,R6,5,5
170,GPT4,R5,5,5
170,Llama,R4,5,5
170,Llama,R6,5,5
170,Llama,R5,5,5
171,GPT35,R4,5,5
171,GPT35,R6,5,5
171,GPT35,R5,5,5
171,GPT4,R4,5,4
171,GPT4,R6,5,3
171,GPT4,R5,5,3
171,Llama,R4,5,3
171,Llama,R6,5,3
171,Llama,R5,5,2
172,GPT35,R4,0,0
172,GPT35,R6,0,0
172,GPT35,R5,0,0
172,GPT4,R4,5,5
172,GPT4,R6,5,5
172,GPT4,R5,5,5
172,Llama,R4,3,1
172,Llama,R6,5,1
172,Llama,R5,0,0
173,GPT35,R4,5,5
173,GPT35,R6,4,5
173,GPT35,R5,5,5
173,GPT4,R4,5,5
173,GPT4,R6,5,5
173,GPT4,R5,5,5
173,Llama,R4,5,3
173,Llama,R6,5,3
173,Llama,R5,5,2
174,GPT35,R4,5,5
174,GPT35,R6,5,5
174,GPT35,R5,5,5
174,GPT4,R4,5,5
174,GPT4,R6,5,5
174,GPT4,R5,5,5
174,Llama,R4,5,5
174,Llama,R6,4,5
174,Llama,R5,5,5
175,GPT35,R4,5,5
175,GPT35,R6,0,0
175,GPT35,R5,5,5
175,GPT4,R4,5,5
175,GPT4,R6,5,5
175,GPT4,R5,5,5
175,Llama,R4,5,5
175,Llama,R6,0,0
175,Llama,R5,5,5
176,GPT35,R4,5,5
176,GPT35,R6,5,5
176,GPT35,R5,5,5
176,GPT4,R4,5,5
176,GPT4,R6,5,5
176,GPT4,R5,5,5
176,Llama,R4,5,5
176,Llama,R6,5,5
176,Llama,R5,5,5
177,GPT35,R4,5,5
177,GPT35,R6,5,5
177,GPT35,R5,5,5
177,GPT4,R4,5,5
177,GPT4,R6,5,5
177,GPT4,R5,5,5
177,Llama,R4,5,5
177,Llama,R6,5,5
177,Llama,R5,5,5
178,GPT35,R4,5,5
178,GPT35,R6,5,5
178,GPT35,R5,5,5
178,GPT4,R4,5,5
178,GPT4,R6,5,5
178,GPT4,R5,5,5
178,Llama,R4,5,5
178,Llama,R6,5,5
178,Llama,R5,5,5
179,GPT35,R4,0,0
179,GPT35,R6,0,0
179,GPT35,R5,0,0
179,GPT4,R4,5,5
179,GPT4,R6,5,5
179,GPT4,R5,5,5
179,Llama,R4,5,5
179,Llama,R6,5,5
179,Llama,R5,5,5
180,GPT35,R4,5,5
180,GPT35,R6,5,5
180,GPT35,R5,5,5
180,GPT4,R4,5,5
180,GPT4,R6,5,5
180,GPT4,R5,5,5
180,Llama,R4,5,5
180,Llama,R6,5,5
180,Llama,R5,5,5
181,GPT35,R4,5,5
181,GPT35,R6,5,5
181,GPT35,R5,5,5
181,GPT4,R4,5,5
181,GPT4,R6,5,5
181,GPT4,R5,5,5
181,Llama,R4,5,5
181,Llama,R6,5,4
181,Llama,R5,5,5
182,GPT35,R4,5,5
182,GPT35,R6,5,5
182,GPT35,R5,5,5
182,GPT4,R4,5,5
182,GPT4,R6,5,5
182,GPT4,R5,5,5
182,Llama,R4,5,5
182,Llama,R6,5,5
182,Llama,R5,5,5
183,GPT35,R4,5,5
183,GPT35,R6,5,5
183,GPT35,R5,5,5
183,GPT4,R4,5,5
183,GPT4,R6,5,5
183,GPT4,R5,5,5
183,Llama,R4,5,5
183,Llama,R6,5,5
183,Llama,R5,5,5
184,GPT35,R4,5,5
184,GPT35,R6,5,5
184,GPT35,R5,5,5
184,GPT4,R4,5,5
184,GPT4,R6,5,5
184,GPT4,R5,5,5
184,Llama,R4,5,5
184,Llama,R6,5,5
184,Llama,R5,5,5
185,GPT35,R4,5,5
185,GPT35,R6,5,5
185,GPT35,R5,5,5
185,GPT4,R4,5,5
185,GPT4,R6,5,5
185,GPT4,R5,5,5
185,Llama,R4,5,5
185,Llama,R6,5,5
185,Llama,R5,5,5
186,GPT35,R4,5,5
186,GPT35,R6,5,5
186,GPT35,R5,5,5
186,GPT4,R4,5,5
186,GPT4,R6,5,5
186,GPT4,R5,5,5
186,Llama,R4,5,5
186,Llama,R6,5,5
186,Llama,R5,5,5
187,GPT35,R4,5,5
187,GPT35,R6,5,5
187,GPT35,R5,5,5
187,GPT4,R4,5,5
187,GPT4,R6,5,5
187,GPT4,R5,5,5
187,Llama,R4,5,5
187,Llama,R6,5,5
187,Llama,R5,5,5
188,GPT35,R4,5,5
188,GPT35,R6,5,5
188,GPT35,R5,5,5
188,GPT4,R4,5,5
188,GPT4,R6,5,5
188,GPT4,R5,5,5
188,Llama,R4,5,5
188,Llama,R6,5,5
188,Llama,R5,5,5
189,GPT35,R4,5,5
189,GPT35,R6,5,5
189,GPT35,R5,5,5
189,GPT4,R4,0,0
189,GPT4,R6,0,0
189,GPT4,R5,0,0
189,Llama,R4,0,0
189,Llama,R6,0,0
189,Llama,R5,0,0
190,GPT35,R4,0,0
190,GPT35,R6,0,0
190,GPT35,R5,0,0
190,GPT4,R4,0,0
190,GPT4,R6,0,0
190,GPT4,R5,0,0
190,Llama,R4,0,0
190,Llama,R6,0,0
190,Llama,R5,0,0
191,GPT35,R4,0,0
191,GPT35,R6,0,0
191,GPT35,R5,0,0
191,GPT4,R4,0,0
191,GPT4,R6,0,0
191,GPT4,R5,0,0
191,Llama,R4,0,0
191,Llama,R6,0,0
191,Llama,R5,0,0
192,GPT35,R4,5,5
192,GPT35,R6,5,5
192,GPT35,R5,5,5
192,GPT4,R4,5,5
192,GPT4,R6,5,5
192,GPT4,R5,5,5
192,Llama,R4,5,5
192,Llama,R6,5,5
192,Llama,R5,5,5
193,GPT35,R4,0,0
193,GPT35,R6,0,0
193,GPT35,R5,0,0
193,GPT4,R4,5,5
193,GPT4,R6,4,5
193,GPT4,R5,5,5
193,Llama,R4,5,5
193,Llama,R6,5,5
193,Llama,R5,5,5
194,GPT35,R4,5,5
194,GPT35,R6,5,5
194,GPT35,R5,5,5
194,GPT4,R4,5,5
194,GPT4,R6,5,5
194,GPT4,R5,5,5
194,Llama,R4,5,3
194,Llama,R6,5,3
194,Llama,R5,5,3
195,GPT35,R4,5,5
195,GPT35,R6,5,5
195,GPT35,R5,5,5
195,GPT4,R4,5,5
195,GPT4,R6,5,5
195,GPT4,R5,5,5
195,Llama,R4,5,5
195,Llama,R6,5,5
195,Llama,R5,5,5
196,GPT35,R4,5,5
196,GPT35,R6,5,5
196,GPT35,R5,5,5
196,GPT4,R4,5,5
196,GPT4,R6,5,5
196,GPT4,R5,5,5
196,Llama,R4,5,5
196,Llama,R6,5,5
196,Llama,R5,5,5
197,GPT35,R4,5,5
197,GPT35,R6,5,5
197,GPT35,R5,5,5
197,GPT4,R4,5,5
197,GPT4,R6,5,5
197,GPT4,R5,5,5
197,Llama,R4,0,0
197,Llama,R6,0,0
197,Llama,R5,0,0
198,GPT35,R4,5,5
198,GPT35,R6,5,5
198,GPT35,R5,5,5
198,GPT4,R4,0,0
198,GPT4,R6,0,0
198,GPT4,R5,0,0
198,Llama,R4,5,5
198,Llama,R6,5,5
198,Llama,R5,5,5
199,GPT35,R4,0,0
199,GPT35,R6,0,0
199,GPT35,R5,0,0
199,GPT4,R4,5,5
199,GPT4,R6,5,5
199,GPT4,R5,5,5
199,Llama,R4,5,5
199,Llama,R6,5,5
199,Llama,R5,5,5
200,GPT35,R4,5,5
200,GPT35,R6,5,5
200,GPT35,R5,5,5
200,GPT4,R4,5,5
200,GPT4,R6,5,5
200,GPT4,R5,5,5
200,Llama,R4,5,5
200,Llama,R6,5,5
200,Llama,R5,5,5
201,GPT35,R4,5,4
201,GPT35,R6,5,4
201,GPT35,R5,5,4
201,GPT4,R4,0,0
201,GPT4,R6,0,0
201,GPT4,R5,0,0
201,Llama,R4,5,5
201,Llama,R6,5,5
201,Llama,R5,5,5
202,GPT35,R4,5,3
202,GPT35,R6,3,3
202,GPT35,R5,5,5
202,GPT4,R4,5,3
202,GPT4,R6,5,3
202,GPT4,R5,5,3
202,Llama,R4,0,0
202,Llama,R6,0,0
202,Llama,R5,0,0
203,GPT35,R4,5,3
203,GPT35,R6,5,3
203,GPT35,R5,5,3
203,GPT4,R4,5,3
203,GPT4,R6,5,3
203,GPT4,R5,5,3
203,Llama,R4,0,0
203,Llama,R6,0,0
203,Llama,R5,0,0
204,GPT35,R4,5,5
204,GPT35,R6,5,5
204,GPT35,R5,5,5
204,GPT4,R4,0,0
204,GPT4,R6,0,0
204,GPT4,R5,0,0
204,Llama,R4,0,0
204,Llama,R6,0,0
204,Llama,R5,0,0
205,GPT35,R4,0,0
205,GPT35,R6,0,0
205,GPT35,R5,0,0
205,GPT4,R4,5,4
205,GPT4,R6,5,3
205,GPT4,R5,5,3
205,Llama,R4,0,0
205,Llama,R6,0,0
205,Llama,R5,0,0
206,GPT35,R4,3,3
206,GPT35,R6,5,2
206,GPT35,R5,4,2
206,GPT4,R4,5,5
206,GPT4,R6,5,5
206,GPT4,R5,5,5
206,Llama,R4,0,0
206,Llama,R6,0,0
206,Llama,R5,0,0
207,GPT35,R4,5,5
207,GPT35,R6,5,5
207,GPT35,R5,5,5
207,GPT4,R4,5,5
207,GPT4,R6,5,5
207,GPT4,R5,5,5
207,Llama,R4,0,0
207,Llama,R6,5,5
207,Llama,R5,0,0
